226105	227299	223005	235546	237524	221479	236000	211057	226213	239696	217781	227558	231032	258230	228396	226754	232075	205663	207256	221626	225226	218480	222398	224372	220697	198317	228427	225594	220660	245434	222411	241013	210167	215400	217390	205993	233166	230663	260180	193119	241738	228371	195902	230098	204639	224392	201906	238116	221038	203524	225649	208951	217363	234712	243492	215048	260383	215535	241198	223404	218360	236495	226333	244450	205495	212557	228509	221313	210820	229853	211519	239869	225138	233610	227428	228646	230059	231405	218562	223764	238501	227289	225868	231205	205314	216797	228118	228956	245503	219433	210312	235406	270394	207909	228858	225717	218559	236416	233398	216092	
225421	235710	204572	211309	216928	208130	234166	216083	231306	235380	220947	224509	209719	235513	211584	230704	222291	209157	194295	193839	218737	216855	218932	224257	230518	219983	232120	244915	233557	227254	220925	219709	199797	223364	209725	229097	228902	236422	257329	209577	247527	240039	199736	219248	206346	235448	216879	217621	222883	229694	226145	219653	239612	233741	240228	235643	250873	243403	242122	212852	214715	230532	211017	240854	209720	226077	236137	232222	213294	230416	200083	254100	234963	217916	230629	229846	217992	246453	225793	238440	218022	225520	232403	241146	228821	229745	229057	218495	238179	226231	214035	234022	248756	199802	220725	242801	217566	228405	220947	219632	
245767	250780	231091	239620	263498	252474	258625	223906	238011	276645	242079	241243	245291	282237	250795	256528	252595	246258	222316	247053	246015	228245	248801	239472	246015	239077	250103	272307	253121	252754	239026	251891	231979	244598	239998	238538	246236	253132	276443	239656	252440	244431	229005	271800	224691	226318	241535	272063	251041	210392	240807	254449	239032	254769	258314	261897	281131	244854	259265	242761	236131	266511	248666	256264	211462	249742	248697	257221	234583	245493	228744	281402	255962	233079	250131	243545	249333	257980	237025	256025	261916	261189	265028	244878	270063	239831	239878	241515	272942	256973	236012	262743	274298	239894	241531	259030	221182	246805	254964	259734	
282397	267743	257023	261208	259595	264696	253028	231239	251350	271846	259880	252052	241840	295811	277288	272759	278490	230414	224376	228232	244602	228695	268426	241341	276029	261317	256744	275155	263789	257793	236344	265528	227601	257481	246513	261005	274477	265410	295889	247234	264075	260669	224706	252888	247229	245856	261987	242913	241670	235412	265588	265470	274165	267609	274092	261090	265106	255731	275463	258654	269065	270558	245285	260032	240733	267945	271214	253986	242384	238406	245592	288701	266839	265797	264794	256959	247096	269289	243953	260577	273843	268112	274586	243059	274358	247363	250947	258114	252993	250739	238572	272016	283806	250226	232335	255225	215079	262066	250443	255071	
252850	239034	221394	228195	238523	223242	232627	220582	234666	233784	237811	244007	218359	254892	246984	248415	261147	240219	214591	240788	234545	213203	258519	234991	251197	233760	247732	247227	239800	264268	208719	254859	221180	224374	216980	226829	243638	252819	250783	224980	254119	255441	207364	247664	200412	231551	226116	223362	229469	214017	235905	230602	232567	245075	269118	245129	269604	219605	266688	213965	229527	241536	232315	237722	210909	243060	224223	253676	216678	222540	224084	278687	230123	235018	226473	231769	224498	245218	233228	243480	253902	248587	244887	221079	234326	238313	241849	224047	246030	241408	214573	242559	241718	240811	231024	248525	211530	222335	236069	227137	
273704	268549	246996	263374	264936	269460	281341	247404	262183	284684	259790	271086	247539	300952	277816	276298	266527	235395	239015	255874	256112	243099	269976	248080	250014	251593	261511	270046	258531	262300	255386	271649	240508	250919	259640	239037	272055	274482	274838	247697	288898	269438	229717	271091	242486	257026	255744	270522	271876	245506	264592	260158	266909	266176	265391	264828	307485	256526	278761	264036	244512	263544	263091	270387	240866	256673	278943	279147	237977	270424	248443	290891	268575	272298	253629	260899	248249	286733	245190	280993	276933	271467	270685	267346	256301	275535	259631	262643	280786	271673	244166	272479	295203	250781	265826	268452	243519	266370	275831	270599	
270015	247352	237964	249792	249757	239264	263931	247973	223330	261323	245785	234950	232720	274263	246656	246713	258395	220869	226076	241902	238948	232655	232618	242071	235738	237924	253788	256369	233235	243460	235467	257463	228752	221044	240204	240629	253069	267026	270611	225922	263059	247126	224632	268282	225892	242600	247985	252807	246878	227367	245098	235574	242085	243156	274914	255475	290500	258546	243243	253443	231355	270195	247901	242851	215288	230675	243199	240169	234947	243493	240189	292380	246016	240899	242490	247269	235873	253363	235053	266858	248933	247515	270437	251047	263206	257245	247162	255676	252998	243244	226643	267004	258691	230760	258481	236094	230455	239065	256171	250805	
233622	205270	210642	222343	214043	222906	216733	202470	206592	239567	218532	207966	209823	241360	220459	225923	219304	205535	197205	202031	209275	200322	223278	212457	224560	218813	213372	234900	214154	226458	204683	245508	180684	209619	218719	211171	210891	218724	228191	207657	238237	215212	190218	231696	207728	203528	220636	216724	219684	205814	224524	212670	232128	212777	235455	218833	238185	211587	234347	227110	195148	227466	204369	232325	187865	210942	205525	231395	207266	205395	196430	224012	216440	233892	194850	227083	209853	229884	196776	227839	215265	218800	215057	205430	220053	232659	196713	215598	215756	211936	193434	237252	231134	214769	211983	212186	190907	215792	237046	201936	
238251	245200	239055	241837	248035	248594	259699	226146	239960	265726	233181	238588	237783	271279	252434	253530	249767	246815	218436	235631	246836	234569	245225	242028	252040	236278	253237	259129	247876	255640	238644	255464	227126	231476	222933	241611	235568	251230	271843	235707	257528	238774	204681	268396	211075	236218	242853	262586	236010	219682	237239	246082	254677	245358	252478	252617	275105	234122	256167	236091	234303	255198	242286	243589	199682	233035	245716	229957	221135	226949	231158	266400	250986	232256	250993	247065	224453	246679	221916	247217	244260	246441	263729	237444	261144	239005	250613	247681	239925	224651	224253	267038	273455	230588	243078	250972	208386	242896	249046	247030	
285149	252638	238511	266280	258632	252771	272577	234582	246000	268923	232968	258997	252449	283807	277808	245906	264077	229229	224965	243770	247721	230562	259718	248620	255087	244015	259983	261410	263540	260265	242125	258867	218142	246995	255976	241929	259862	255987	291643	243715	266811	265942	225903	261993	224515	237843	236693	248537	277924	233150	256238	264345	256529	265843	270427	262511	285162	257048	266393	266672	244901	268481	237581	264283	223753	242927	251793	264808	237976	253430	245485	280079	247307	273336	260255	257781	232815	271659	235004	277809	274380	252223	266888	253213	270857	257517	245742	264922	270055	253075	234169	256351	277394	240261	246819	248226	228927	254844	253062	241628	
